,Model,Nodes,Edges,Average_degree,Max_degree,Min_degree,Average_clustering_coefficient,Assortativity,Average_path_length,Diameter
0,rb25.net,25,66,2.6400,20,4,0.5578,-0.1635,1.9520,4
1,20x2+5x2.net,50,404,8.0800,22,4,0.9866,0.9186,2.3400,4
2,wheel.net,9,16,1.7778,8,3,0.4615,-0.3333,1.3827,2
3,circle9.net,9,9,1.0000,2,2,0.0000,nan,2.2222,4
4,graph3+1+3.net,7,8,1.1429,3,2,0.5455,-0.6000,1.8776,4
5,grid-p-6x6.net,36,72,2.0000,4,4,0.0000,nan,3.0000,6
6,star.net,9,8,0.8889,8,1,0.0000,-1.0000,1.5802,2
7,graph4+4.net,8,13,1.6250,4,3,0.8000,-0.0833,1.6250,3
8,SF_500_g2.7.net,500,859,1.7180,22,2,0.0105,-0.0256,4.8662,12
9,256_4_4_2_15_18_p.net,256,4548,17.7656,46,30,0.7117,0.0286,2.7712,5
10,ER1000k8.net,1000,3956,3.9560,17,1,0.0087,-0.0168,3.5662,6
11,BA1000.net,1000,3990,3.9900,115,4,0.0255,-0.0542,3.1801,5
12,rb125.net,125,426,3.4080,100,4,0.2061,-0.1837,2.2848,4
13,SF_1000_g2.5.net,1000,1905,1.9050,30,2,0.0124,0.0200,4.6103,10
14,homorand_N1000_K6_0.net,1000,2994,2.9940,6,5,0.0038,0.1919,4.1871,6
15,SF_1000_g3.0.net,1000,1517,1.5170,26,2,0.0032,-0.0085,5.9591,13
16,homorand_N1000_K4_0.net,1000,2000,2.0000,4,4,0.0020,nan,5.6344,9
17,ws2000.net,2000,6000,3.0000,13,3,0.0031,-0.0762,4.5088,7
18,SF_1000_g2.7.net,1000,1668,1.6680,24,2,0.0063,-0.0020,5.4634,12
19,ws1000.net,1000,3000,3.0000,13,3,0.0045,-0.0999,4.0872,6
20,ER5000k8.net,5000,19980,3.9960,17,4,0.0013,-0.0555,4.3789,6
21,256_4_4_4_13_18_p.net,256,4598,17.9609,50,20,0.4882,0.0007,2.6407,4
22,dolphins.net,62,159,2.5645,12,1,0.3088,-0.0436,3.3028,8
23,PGP.net,10680,24340,2.2790,206,1,0.3780,0.2395,7.4848,24
24,airports_UW.net,3618,14142,3.9088,250,1,0.2435,0.0462,4.4384,17
25,zachary_unwh.net,34,78,2.2941,17,1,0.2557,-0.4756,2.3374,5
