,FileName,Folder,Edges,Nodes,Density,Avg. Path Length,Assortativity,Diameter,Transitivity,Min. Degree,Avg. Degree,Max. Degree,Time
0,SF_1000_g2.5.net,model,1905,1000,0.0038,4.6149,0.02,10,0.0096,2,3.81,30,0.1609508991241455
1,SF_1000_g2.7.net,model,1668,1000,0.0033,5.4688,-0.002,12,0.0067,2,3.336,24,0.1224067211151123
2,homorand_N1000_K6_0.net,model,2994,1000,0.006,4.1913,0.1919,6,0.0038,5,5.988,6,0.1793978214263916
3,homorand_N1000_K4_0.net,model,2000,1000,0.004,5.64,,9,0.002,4,4.0,4,0.14121198654174805
4,ER1000k8.net,model,3956,1000,0.0079,3.5698,-0.0168,6,0.0081,1,7.912,17,0.5132460594177246
5,SF_1000_g3.0.net,model,1517,1000,0.003,5.9651,-0.0085,13,0.0052,2,3.034,26,0.23246192932128906
6,ws2000.net,model,6000,2000,0.003,4.5111,-0.0762,7,0.0033,3,6.0,13,0.7170450687408447
7,BA1000.net,model,3990,1000,0.008,3.1833,-0.0542,5,0.0354,4,7.98,115,0.1603071689605713
8,256_4_4_4_13_18_p.net,model,4598,256,0.1409,2.6511,0.0007,4,0.5113,20,35.9219,50,0.06261205673217773
9,ER5000k8.net,model,19980,5000,0.0016,4.3797,-0.0555,6,0.0014,4,7.992,17,4.143395185470581
10,SF_500_g2.7.net,model,859,500,0.0069,4.8759,-0.0256,12,0.0078,2,3.436,22,0.040850162506103516
11,256_4_4_2_15_18_p.net,model,4548,256,0.1393,2.7821,0.0286,5,0.7331,30,35.5312,46,0.03736400604248047
12,rb125.net,model,426,125,0.055,2.3032,-0.1837,4,0.8373,4,6.816,100,0.05620884895324707
13,ws1000.net,model,3000,1000,0.006,4.0913,-0.0999,6,0.0044,3,6.0,13,0.38413095474243164
