,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
0,AAA,2,2.0,1.0,6.07032747,13.0,0.0004474,0.0,0.00014466
1,AAE,6,6.0,0.73333333,5.23216445,12.0,0.02953289,417.83053491,0.00018475
2,AAL,3,3.0,1.0,5.38356306,12.0,0.01657083,0.0,0.00010524
3,AAN,11,11.0,0.67272727,5.75746385,12.0,0.03486096,66.18991488,0.00027867
4,AAQ,10,10.0,0.33333333,5.46776434,12.0,0.03278166,130.96214709,0.00027673
5,AAR,6,6.0,0.93333333,5.13340034,12.0,0.04546278,0.11111111,0.00016741
6,AAT,1,1.0,,6.72669875,13.0,0.00062261,0.0,6.937e-05
7,AAU,1,1.0,,7.12873116,14.0,4.31e-06,0.0,0.0001064
8,AAY,4,4.0,0.83333333,6.43917062,13.0,0.00297301,0.4,0.00014316
9,ABA,1,1.0,,6.39898844,13.0,0.00034129,0.0,6.993e-05
10,ABD,4,4.0,0.83333333,5.73500452,12.0,0.01189301,19.79774154,0.00014035
11,ABE,14,14.0,0.92307692,5.56545428,13.0,0.10357755,14.8434597,0.00030169
12,ABI,3,3.0,1.0,5.58844842,13.0,0.01768247,0.0,0.00011399
13,ABJ,28,28.0,0.35449735,5.26591026,12.0,0.12201828,6214.70357295,0.00070395
14,ABK,3,3.0,1.0,7.2771386,14.0,3.912e-05,0.0,0.00020323
15,ABL,4,4.0,0.66666667,6.70990672,14.0,3.139e-05,17.97,0.00025261
16,ABM,3,3.0,0.33333333,6.14280591,11.0,0.00044891,1803.33333333,0.00020091
17,ABQ,36,36.0,0.34126984,4.95665575,12.0,0.14466497,27393.07919354,0.00103597
18,ABR,3,3.0,0.33333333,5.62813963,13.0,0.00712668,3616.0,0.00018398
19,ABS,1,1.0,,6.26349788,13.0,0.00045801,0.0,7.679e-05
20,ABT,2,2.0,1.0,5.6195478,12.0,0.00863473,0.0,8.465e-05
21,ABV,3,3.0,0.66666667,5.16874609,12.0,0.01828636,559.50497584,0.00013382
22,ABX,5,5.0,0.6,5.86983864,12.0,0.00231359,37.30574489,0.00023406
23,ABY,1,1.0,,5.52879657,13.0,0.01081064,0.0,6.033e-05
24,ABZ,22,22.0,0.28138528,5.21144671,12.0,0.0733224,24509.674762,0.00059326
25,ACA,8,8.0,0.67857143,5.58724522,13.0,0.03181167,288.96125224,0.00021742
26,ACC,24,24.0,0.31884058,5.16447457,12.0,0.12053639,4798.96965751,0.00057663
27,ACE,38,38.0,0.47510669,5.1062908,12.0,0.20655825,364.7214817,0.00068419
28,ACH,1,1.0,,5.72947365,13.0,0.01056338,0.0,5.88e-05
29,ACI,3,3.0,1.0,6.27217358,13.0,0.00421491,0.0,0.0001019
30,ACK,6,6.0,0.6,5.5660152,13.0,0.02554339,3026.72940938,0.00019423
31,ACT,4,4.0,0.83333333,5.58847649,13.0,0.01799674,0.33333333,0.00014551
32,ACV,5,5.0,0.6,5.18917388,12.0,0.01327796,16.66433253,0.00017484
33,ADA,7,7.0,0.71428571,5.34221848,12.0,0.05336155,86.13209062,0.00018651
34,ADD,37,37.0,0.15615616,5.27936846,12.0,0.09505732,111288.15049261,0.00135661
35,ADE,14,14.0,0.48351648,5.77768258,12.0,0.04054619,862.49720002,0.00037849
36,ADF,1,1.0,,6.28154956,13.0,0.00306243,0.0,6.923e-05
37,ADH,2,2.0,1.0,6.41451731,13.0,0.00047953,0.0,0.00010034
38,ADK,1,1.0,,6.73018462,14.0,2.605e-05,0.0,0.00011362
39,ADL,24,24.0,0.17028986,5.62088644,11.0,0.01942861,43048.95445591,0.00124245
40,ADQ,1,1.0,,5.73091964,13.0,0.00138838,0.0,8.547e-05
41,ADU,1,1.0,,6.1231271,13.0,0.00440033,0.0,6.751e-05
42,ADZ,6,6.0,0.73333333,5.89886098,13.0,0.00502276,55.3,0.00025275
43,AER,12,12.0,0.54545455,5.38669062,12.0,0.02703577,9.6532766,0.00030446
44,AES,4,4.0,1.0,6.27161266,13.0,0.00663887,0.0,0.00015919
45,AET,4,4.0,0.66666667,6.74771526,14.0,0.00013568,1.0,0.00027688
46,AEX,5,5.0,0.7,5.569243,13.0,0.02361639,18.78731419,0.00015297
47,AEY,6,6.0,0.26666667,6.11790832,13.0,0.00248239,9037.0,0.00039218
48,AFA,2,2.0,1.0,5.59002053,13.0,0.00327461,0.0,0.00012661
49,AFL,1,1.0,,7.77011353,15.0,1.71e-06,0.0,0.00011593
50,AFT,1,1.0,,7.16975095,11.0,2.089e-05,0.0,0.00010849
51,AGA,12,12.0,0.5,5.37149668,12.0,0.09506994,4045.15308985,0.00028787
52,AGE,1,1.0,,8.37159643,15.0,2.27e-06,0.0,0.00014035
53,AGF,2,2.0,1.0,5.2831862,12.0,0.01627219,0.0,0.00010843
54,AGH,3,3.0,1.0,5.39976441,12.0,0.01804304,0.0,0.00011024
55,AGJ,1,1.0,,6.2807393,13.0,0.00066407,0.0,6.846e-05
56,AGL,3,3.0,0.33333333,6.72729867,11.0,0.0001512,3607.0,0.00023011
57,AGN,2,2.0,1.0,6.74852264,14.0,0.00013211,0.0,0.0001878
58,AGP,47,47.0,0.49398705,5.29808359,12.0,0.30890672,5600.07630107,0.00093194
59,AGR,3,3.0,0.33333333,5.68331146,12.0,0.00426498,1479.04643279,0.00013964
60,AGS,2,2.0,1.0,5.52319517,13.0,0.017781,0.0,7.955e-05
61,AGT,2,2.0,1.0,5.77425726,13.0,0.00486156,0.0,0.00010797
62,AGU,7,7.0,0.76190476,5.17638879,12.0,0.02559141,37.68371295,0.00019367
63,AHB,7,7.0,0.66666667,5.63238573,12.0,0.01120702,1263.7052444,0.0002165
64,AHE,2,2.0,1.0,6.07039587,13.0,0.00044727,0.0,0.00014354
65,AHN,1,1.0,,5.82916305,13.0,0.00697035,0.0,6.068e-05
66,AHO,9,9.0,0.72222222,5.15456525,12.0,0.06359409,1.42346918,0.00020176
67,AHS,2,2.0,1.0,7.57713654,15.0,4.257e-05,0.0,0.00016318
