,FileName,Folder,Edges,Nodes,Density,Avg. Path Length,Assortativity,Diameter,Transitivity,Min. Degree,Avg. Degree,Max. Degree,Time
0,zachary_unwh.net,real,78,34,0.139,2.4082,-0.4756,5,0.5879,1,4.5882,17,0.00940084457397461
1,dolphins.net,real,159,62,0.0841,3.357,-0.0436,8,0.3029,1,5.129,12,0.002609968185424805
2,airports_UW.net,real,14142,3618,0.0022,4.4396,0.0462,17,0.6228,1,7.8176,250,1.9383108615875244
3,PGP.net,real,24340,10680,0.0004,7.4855,0.2395,24,0.4403,1,4.5581,206,15.157508850097654
4,rb25.net,toy,66,25,0.22,2.0333,-0.1635,4,0.9023,4,5.28,20,0.002254009246826172
5,wheel.net,toy,16,9,0.4444,1.5556,-0.3333,2,0.6243,3,3.5556,8,0.001407146453857422
6,graph3+1+3.net,toy,8,7,0.381,2.1905,-0.6,4,0.6667,2,2.2857,3,0.0010101795196533203
7,20x2+5x2.net,toy,404,50,0.3298,2.3878,0.9186,4,0.9716,4,16.16,22,0.003100156784057617
8,graph4+4.net,toy,13,8,0.4643,1.8571,-0.0833,3,0.875,3,3.25,4,0.0011470317840576172
9,grid-p-6x6.net,toy,72,36,0.1143,3.0857,,6,0.0,4,4.0,4,0.001247882843017578
10,star.net,toy,8,9,0.2222,1.7778,-1.0,2,0.0,1,1.7778,8,0.0010700225830078123
11,circle9.net,toy,9,9,0.25,2.5,,4,0.0,2,2.0,2,0.0009307861328125
12,SF_1000_g2.5.net,model,1905,1000,0.0038,4.6149,0.02,10,0.0096,2,3.81,30,0.1609508991241455
13,SF_1000_g2.7.net,model,1668,1000,0.0033,5.4688,-0.002,12,0.0067,2,3.3360000000000003,24,0.1224067211151123
14,homorand_N1000_K6_0.net,model,2994,1000,0.006,4.1913,0.1919,6,0.0038,5,5.988,6,0.1793978214263916
15,homorand_N1000_K4_0.net,model,2000,1000,0.004,5.64,,9,0.002,4,4.0,4,0.14121198654174805
16,ER1000k8.net,model,3956,1000,0.0079,3.5698,-0.0168,6,0.0081,1,7.912000000000001,17,0.5132460594177246
17,SF_1000_g3.0.net,model,1517,1000,0.003,5.9651,-0.0085,13,0.0052,2,3.034,26,0.23246192932128906
18,ws2000.net,model,6000,2000,0.003,4.5111,-0.0762,7,0.0033,3,6.0,13,0.7170450687408447
19,BA1000.net,model,3990,1000,0.008,3.1833,-0.0542,5,0.0354,4,7.98,115,0.1603071689605713
